,customer_id,req_id,insu_req_amount,insu_pay_amount,insu_cum_amount,insu_duration,customer_cost,risk
0,C112379,C112379-20110314-17403-01-001,623098,1214577.0,1800000,15,-0.9492551733435189,1
1,C112404,C112404-20100831-12754-01-001,808750,1008750.0,600000,5,-0.2472952086553323,1
2,C112411,C112411-20101111-18755-01-001,333680,553680.0,240000,2,-0.6593143131143611,1
3,C112570,C112570-20130716-13737-01-001,2762279,2852279.0,4875000,39,-0.03258179206372709,1
4,C112856,C112856-20120717-16134-02-001,234820,314820.0,2875000,23,-0.3406864832637765,1
5,C112878,C112878-20121210-12373-01-001,316111,366111.0,3640000,28,-0.15817228758252638,1
6,C112959,C112959-20130913-19024-01-001,282090,682090.0,2750000,45,-1.4179871672161366,1
7,C112988,C112988-20121113-14445-01-001,318952,518952.0,1480000,37,-0.6270536005417743,1
8,C113014,C113014-20120215-17610-01-001,2661386,2781386.0,2250000,18,-0.04508928806268613,1
9,C113024,C113024-20130621-10452-01-001,2480049,2880049.0,4100000,41,-0.16128713585900925,1
10,C113031,C113031-20100721-17697-01-001,183405,333405.0,1000000,5,-0.8178621084485156,1
11,C113033,C113033-20130729-10986-01-001,694390,4907930.0,9900000,45,-6.067973329109003,1
12,C113037,C113037-20130628-12473-01-001,4366534,4566348.0,4300000,43,-0.04576032157312871,1
13,C113076,C113076-20130308-15714-01-001,209870,309870.0,1600000,40,-0.47648544336970505,1
14,C113105,C113105-20130207-19566-01-001,345600,745600.0,1520000,38,-1.1574074074074074,1
15,C113170,C113170-20130715-18025-01-001,4289065,4579065.0,1720000,43,-0.06761380394095216,1
16,C113172,C113172-20130910-20396-01-001,570530,1488822.0,1680000,42,-1.609542004802552,1
17,C113175,C113175-20130930-11199-01-001,150480,405088.0,1760000,44,-1.69197235513025,1
18,C113178,C113178-20110420-18906-01-001,387300,667300.0,1950000,15,-0.7229537825974697,1
19,C113202,C113202-20130820-21268-01-001,367520,687520.0,1640000,41,-0.87070091423596,1
20,C113210,C113210-20130208-12841-01-001,1673326,1833907.0,1520000,38,-0.09596516160030981,1
21,C113231,C113231-20121025-17779-01-001,1000000,1300000.0,3360000,28,-0.3,1
22,C113235,C113235-20121129-10465-01-001,156800,436800.0,3600000,36,-1.7857142857142858,1
23,C113252,C113252-20121128-13191-01-001,2894260,3394260.0,1520000,38,-0.1727557303075743,1
24,C113277,C113277-20121217-11958-01-001,1570140,2798140.0,6380000,29,-0.7820958640630772,1
25,C113284,C113284-20130521-17975-01-001,1887497,2187497.0,1680000,42,-0.158940649971894,1
26,C113295,C113295-20130610-15078-01-001,830650,910650.0,4300000,43,-0.0963101185818335,1
27,C113298,C113298-20130205-21244-01-001,220500,860500.0,7260000,33,-2.9024943310657596,1
28,C113311,C113311-20130429-20432-01-001,468000,868000.0,1640000,41,-0.8547008547008547,1
29,C113333,C113333-20111018-12003-01-001,310437,750437.0,840000,21,-1.4173568228014057,1
30,C113336,C113336-20130605-14430-01-001,5681718,5881718.0,7480000,34,-0.03520062065734343,1
31,C113343,C113343-20130703-12929-01-001,6154050,6474502.0,8140000,37,-0.05207172512410527,1
32,C113356,C113356-20120529-21501-01-001,54200,154200.0,3200000,32,-1.845018450184502,1
33,C113365,C113365-20130822-20819-01-001,1402128,1802128.0,1840000,46,-0.28528065911243483,1
34,C113390,C113390-20130620-18660-01-001,1031804,1089875.0,5500000,44,-0.05628103787153374,1
